user_id,nickname,age,gender,experience_level,desired_pay_amount,desired_business_types,desired_areas,desired_working_days,available_time,profile_image_urls,self_introduction,skills,preferred_work_style,created_at,is_job_seeking
17d9466d-bf96-45a5-b5ba-ca9a2b268500,구직자016,25,FEMALE,JUNIOR,5386984,"텐프로, 클럽, 셔츠룸","선릉, 청담","목, 월, 금, 화, 일, 수",오후 8시 ~ 오전 2시,,6개월 정도 경험 있습니다. 더 발전하고 싶어서 지원했습니다.,"팀워크, 예약 관리, 음향장비 조작, 빠른 학습력",자유로운분위기,2025-07-24T20:51:10.237201,True
0f4bb1c6-6668-4edb-a524-ca58e6934ddc,구직자017,29,FEMALE,INTERMEDIATE,3923212,"나이트클럽, 클럽, 다방, 텐프로, 쩜오","종로, 충무로, 용산","금, 목, 토, 수, 일, 월",오후 6시 ~ 오전 2시,,2년 정도 경험으로 안정적인 서비스 제공 가능합니다.,"칵테일 제조, 예약 관리, 서비스 마인드, 유연한 사고",전문적분위기,2025-07-22T20:51:10.237218,True
10336728-b821-437b-9355-8320812e96bc,구직자018,22,MALE,NEWCOMER,2364946,"호스트바, 라운지, 비즈니스클럽","영등포, 신사, 종로, 반포","수, 일, 금, 토",오후 8시 ~ 오전 3시,,신입이지만 빠르게 적응할 자신 있습니다. 잘 부탁드립니다.,"예약 관리, 음향장비 조작, 현금 관리, 팀워크, 칵테일 제조",개인플레이,2025-07-22T20:51:10.237236,True
e4b18b1c-bfa8-4d7e-9ae1-ecee3723240a,구직자019,29,FEMALE,SENIOR,4408709,"셔츠룸, 호스트바","연남, 을지로","수, 화, 일, 토, 금, 목",오후 9시 ~ 오전 4시,,신입 교육도 가능하며 팀을 이끌어 본 경험이 있습니다.,"유연한 사고, 스트레스 관리, 다국어 가능, 팀워크, 체력 관리",전문적분위기,2025-07-10T20:51:10.237252,True
2b0926dc-e8cd-4e86-a398-d318cec3b68c,구직자020,25,FEMALE,INTERMEDIATE,4394954,"나이트클럽, KTV, 카페, 단란주점, 요정","대학로, 여의도, 홍대, 반포","목, 수, 화",오후 8시 ~ 오전 2시,,다양한 업종에서 일해본 경험으로 어떤 상황이든 대처 가능합니다.,"칵테일 제조, 현금 관리, 서비스 마인드, 팀워크, 음향장비 조작",팀워크,2025-07-13T20:51:10.237268,True
d783f035-07ff-487e-be6c-fb6ddc91eb34,구직자021,22,MALE,JUNIOR,4059900,"BAR, 퍼블릭, 다방, 셔츠룸","대학로, 신천, 홍대, 망원","일, 월, 토, 목, 수",오후 9시 ~ 오전 4시,,기본적인 서비스는 할 수 있습니다. 더 배우고 싶습니다.,"예약 관리, 음향장비 조작, 팀워크",전문적분위기,2025-08-15T20:51:10.237284,True
ef106842-5334-48c7-be64-40c7b4c6cde0,구직자022,31,FEMALE,INTERMEDIATE,4583424,"클럽, 셔츠룸, 하이퍼블릭, 라운지, KTV","명동, 문정, 을지로","금, 토, 수, 목",오후 7시 ~ 오전 1시,,고객 응대와 서비스에 자신 있습니다.,"서비스 마인드, 음향장비 조작",개인플레이,2025-07-31T20:51:10.237299,True
4057b3e6-6583-4d65-bcdd-b4fec825c246,구직자023,21,FEMALE,NEWCOMER,5562772,"카페, 마사지, 노래주점, 룸싸롱","명동, 용산, 동대문","토, 월, 금, 목",오후 9시 ~ 오전 4시,,경험은 없지만 배우려는 의지는 누구보다 강합니다.,"고객 응대, 스트레스 관리, 예약 관리, 팀워크, 유연한 사고",팀워크,2025-08-01T20:51:10.237315,True
8d7c182b-a685-4c8e-a5b4-8224c1588bcf,구직자024,22,MALE,JUNIOR,5231054,"요정, 노래주점, 라운지","상수, 신사, 강동, 논현","일, 월, 목",오후 8시 ~ 오전 2시,,비슷한 업종에서 일해본 경험이 있어 빠르게 적응 가능합니다.,"현금 관리, 예약 관리, 서비스 마인드",팀워크,2025-07-24T20:51:10.237331,True
2e340bb1-da06-45b1-bbcc-b5477036f211,구직자025,21,FEMALE,NEWCOMER,4736654,"요정, 마사지, 비즈니스클럽, 텐프로, 하이퍼블릭","이태원, 강동","토, 월, 수",오후 6시 ~ 오전 2시,,신입이지만 빠르게 적응할 자신 있습니다. 잘 부탁드립니다.,"팀워크, 고객 응대, 칵테일 제조, 스트레스 관리, 체력 관리",전문적분위기,2025-07-29T20:51:10.237346,True
00192ca7-a4bd-48df-b7b4-27a676395f59,구직자026,35,MALE,SENIOR,4457333,"단란주점, 퍼블릭, 마사지","강동, 영등포, 잠원","토, 수, 월, 목",오후 9시 ~ 오전 4시,,신입 교육도 가능하며 팀을 이끌어 본 경험이 있습니다.,"빠른 학습력, 다국어 가능, 서비스 마인드, 음향장비 조작",개인플레이,2025-08-28T20:51:10.237361,True
06eee1bd-46b2-4c6c-9334-9c908d6d6bed,구직자027,29,FEMALE,INTERMEDIATE,4826284,"쩜오, 요정, 비즈니스클럽","서초, 합정","목, 수, 토, 화, 월",오후 6시 ~ 오전 12시,,고객 응대와 서비스에 자신 있습니다.,"팀워크, 칵테일 제조",팀워크,2025-08-14T20:51:10.237377,True
0cc07850-f2eb-4fe2-b584-b48841dd2cd6,구직자028,35,MALE,SENIOR,3097347,"호스트바, 마사지, 노래주점, 카페, KTV","상수, 강동, 서초","화, 목, 월, 일, 수, 토",오후 8시 ~ 오전 2시,,신입 교육도 가능하며 팀을 이끌어 본 경험이 있습니다.,"칵테일 제조, 음향장비 조작, 현금 관리, 팀워크",자유로운분위기,2025-07-24T20:51:10.237393,True
6cad64da-f4be-4374-bebf-847a31f70b02,구직자029,29,MALE,INTERMEDIATE,3093713,"호스트바, 비즈니스클럽, 마사지","신사, 영등포","일, 금, 월, 수, 화",오후 6시 ~ 오전 12시,,고객 응대와 서비스에 자신 있습니다.,"현금 관리, 스트레스 관리, 음향장비 조작, 예약 관리",팀워크,2025-07-29T20:51:10.237408,True
b29f47b6-781d-46aa-91f4-de03c4c7bd83,구직자030,27,MALE,JUNIOR,2040426,"텐프로, 라운지, BAR","천호, 연남","목, 월, 금, 일, 화, 수",오후 8시 ~ 오전 2시,,기본적인 서비스는 할 수 있습니다. 더 배우고 싶습니다.,"음향장비 조작, 유연한 사고",팀워크,2025-08-01T20:51:10.237424,True
